categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Limpieza,Limpieza,gorro las oreiro,2700004130588,24892.12,"$24.892,12",20260901
Limpieza,Limpieza,gorro polar,2700007004411,4391.44,"$4.391,44",20260901
Limpieza,Limpieza,gorro polar camuflado everlast,4212423,12023.0,"$12.023,00",20260901
Limpieza,Limpieza,gorro pompon trendy,2700004551208,17728.92,"$17.728,92",20260901
Limpieza,Limpieza,guante,2700004136979,6984.0,"$6.984,00",20260901
Limpieza,Limpieza,guante impermeable con corderito,6908098269641,6490.0,"$6.490,00",20260901
Limpieza,Limpieza,guante tejido con touch,7702202402363,1750.0,"$1.750,00",20260901
Limpieza,Limpieza,guantes reflex,6912398269577,7290.0,"$7.290,00",20260901
Limpieza,Limpieza,h3664 plato postre carine negro,26102895184,4795.0,"$4.795,00",20260901
Limpieza,Limpieza,hermetico,7896359038244,8325.0,"$8.325,00",20260901
Limpieza,Limpieza,hermetico,7896359029105,7750.0,"$7.750,00",20260901
Limpieza,Limpieza,hermetico san remo con trabas x 770 ml,7896359038145,5455.0,"$5.455,00",20260901
Limpieza,Limpieza,hernetico san remo con trabas x 1.4 litros,7896359029143,6316.0,"$6.316,00",20260901
Limpieza,Limpieza,hielera con pinza de plastico siena,7795128002519,9755.0,"$9.755,00",20260901
Limpieza,Limpieza,individual,5978649020381,1212.0,"$1.212,00",20260901
Limpieza,Limpieza,individual cuerina redondo,2700009500386,4237.0,"$4.237,00",20260901
Limpieza,Limpieza,individual goma color,2700000840108,3806.0,"$3.806,00",20260901
Limpieza,Limpieza,individual set x 6 color plateado,7798422752562,24959.6,"$24.959,60",20260901
Limpieza,Limpieza,individual vintage,4892327800021,5333.0,"$5.333,00",20260901
Limpieza,Limpieza,individuales,2700006100107,987.0,"$987,00",20260901
Limpieza,Limpieza,individula set x 6 color dorado,7798422752579,24959.6,"$24.959,60",20260901
Limpieza,Limpieza,inflador plastico hoteche,6934097741451,9960.0,"$9.960,00",20260901
Limpieza,Limpieza,infusor de ta con pinza,6916466123310,4097.0,"$4.097,00",20260901
Limpieza,Limpieza,jabnera,7797130003201,2561.0,"$2.561,00",20260901
Limpieza,Limpieza,jarra bistrot 0.25 litros,8004360016789,7590.0,"$7.590,00",20260901
Limpieza,Limpieza,jarra bistrot 1 litro,8004360012101,10750.0,"$10.750,00",20260901
Limpieza,Limpieza,jarra con tapa x 1580 ml,6933890382649,14293.0,"$14.293,00",20260901
Limpieza,Limpieza,jarra genova,7702147256762,12552.48,"$12.552,48",20260901
Limpieza,Limpieza,jarra labrada 2.8 litros,7792281162913,52064.61,"$52.064,61",20260901
Limpieza,Limpieza,jarra labrada x 2 litros,7792281164085,38606.74,"$38.606,74",20260901
Limpieza,Limpieza,jarra medidora x 1 litro,7792579003041,5028.0,"$5.028,00",20260901
Limpieza,Limpieza,jarra plastica,7795589007009,7515.0,"$7.515,00",20260901
Limpieza,Limpieza,jarra plastica blanca x 1.5 litros,7792281018753,20667.0,"$20.667,00",20260901
Limpieza,Limpieza,jarra plastica negra x 1.5 litros carol,7792281018746,20667.0,"$20.667,00",20260901
Limpieza,Limpieza,jarra plastica translucida x 1.5 litros carol,7792281200455,20667.0,"$20.667,00",20260901
Limpieza,Limpieza,jarra venecia,7702147235347,11096.0,"$11.096,00",20260901
Limpieza,Limpieza,jarro aluminio el siglo numero 10,7798120230140,5037.0,"$5.037,00",20260901
Limpieza,Limpieza,jarro ceramica biona mug 330 cc.,7891361069538,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro chopp,2700004161278,9645.0,"$9.645,00",20260901
Limpieza,Limpieza,jarro de aluminio el siglo numero 12,7798120230164,6585.0,"$6.585,00",20260901
Limpieza,Limpieza,jarro frases positivas,7792824905700,5190.0,"$5.190,00",20260901
Limpieza,Limpieza,jarro guinda,7798118414194,3075.0,"$3.075,00",20260901
Limpieza,Limpieza,jarro hervidor multiflon 10 cm linea gourmet,7896398321239,16149.0,"$16.149,00",20260901
Limpieza,Limpieza,jarro hervidor multiflon 12 cm linea gourmet,7896398320188,19569.0,"$19.569,00",20260901
Limpieza,Limpieza,jarro hervidor multiflon 14 cm linea gourmet,7896398320096,22617.0,"$22.617,00",20260901
Limpieza,Limpieza,jarro hervidor multiflon 14 cm linea terracota,7896398338138,21502.85,"$21.502,85",20260901
Limpieza,Limpieza,jarro london,7702147218395,4133.0,"$4.133,00",20260901
Limpieza,Limpieza,jarro luxor lima,7798118414187,3074.59,"$3.074,59",20260901
Limpieza,Limpieza,jarro mug,7891361080267,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro mug,7790691021783,4384.0,"$4.384,00",20260901
Limpieza,Limpieza,jarro mug 360,7891361000562,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro mug amarillo,7891361987504,9368.0,"$9.368,00",20260901
Limpieza,Limpieza,jarro mug amarillo x 360 cc,7891361987474,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro mug combinado,7891361267071,6623.0,"$6.623,00",20260901
Limpieza,Limpieza,jarro mug deco melamina,4172307381840,3606.0,"$3.606,00",20260901
Limpieza,Limpieza,jarro mug mama,7798094910666,5990.0,"$5.990,00",20260901
Limpieza,Limpieza,jarro mug porcion de 200 ml,7798111201142,7071.0,"$7.071,00",20260901
Limpieza,Limpieza,jarro mug vidrio 740,7891361875788,9368.0,"$9.368,00",20260901
Limpieza,Limpieza,jarro mugg 360,7891361031948,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro mugg transparente,7702147201199,4133.0,"$4.133,00",20260901
Limpieza,Limpieza,jarro mugg x 360 ml verde,7891361987375,4650.0,"$4.650,00",20260901
Limpieza,Limpieza,jarro plastico sorbito,7795128002823,1835.37,"$1.835,37",20260901
Limpieza,Limpieza,jarro quartier blanco,7891361501182,6068.0,"$6.068,00",20260901
Limpieza,Limpieza,jarro quartier negro,7891361554799,6068.0,"$6.068,00",20260901
Limpieza,Limpieza,jarro termico,7794297010400,6232.0,"$6.232,00",20260901
Limpieza,Limpieza,jean clasico  talles 38 al 52,2700004165306,33299.2,"$33.299,20",20260901
Limpieza,Limpieza,juego de cama 1 12 plaza,7796314000067,18333.0,"$18.333,00",20260901
Limpieza,Limpieza,juego de cubiertos 25 piezas blanco,7898132134389,19690.0,"$19.690,00",20260901
Limpieza,Limpieza,juego de sabanas 2 12 plaza,7798374170667,28438.03,"$28.438,03",20260901
Limpieza,Limpieza,juego de sabanas 2 12 plazas cotton,7798374171220,41395.01,"$41.395,01",20260901
Limpieza,Limpieza,juego de sabanas 2 y  12 plazas,7798146904759,23974.34,"$23.974,34",20260901
Limpieza,Limpieza,juego de sabanas basic 1 plaza y 12,7798374170636,24986.5,"$24.986,50",20260901
Limpieza,Limpieza,juego de sabanas cotton king,7798374171244,68181.38,"$68.181,38",20260901
Limpieza,Limpieza,juego de sabanas cotton queen,7798374171237,61269.86,"$61.269,86",20260901
Limpieza,Limpieza,juego de sabanas est. queen,7798374171114,37945.6,"$37.945,60",20260901
Limpieza,Limpieza,juego de toalla y toallon palette,7794170051674,20066.0,"$20.066,00",20260901
Limpieza,Limpieza,juego de toalla y toallon palette,7794170016390,20066.0,"$20.066,00",20260901
Limpieza,Limpieza,juego hoteche de 15 tarugos y 15 tornillos,6934097745459,6227.0,"$6.227,00",20260901
