ean,nombre,categoria,cat_principal,precio,fecha
7790070265463,aderezo para ensalada  cocinero x 500 ml clasico,Almacen,Almacen,2435.0,20260220
7798146139052,aderezo para ensaladas tau coleslaw x 310 gr.dos anclas,Almacen,Almacen,3913.0,20260220
7792900009223,adobo para pizzas dos anclas x 25 gr.,Almacen,Almacen,1235.0,20260220
7790580135737,adobo ppizza la campagnol.x23,Almacen,Almacen,1146.0,20260220
7790150406915,aji triturado alicante x 25 gr.,Almacen,Almacen,1039.0,20260220
7793551000294,ajies en vinagre marvavic x 120 gr.,Almacen,Almacen,4873.0,20260220
7792070000754,ajies en vinagre nucete x 330 gr.,Almacen,Almacen,4752.0,20260220
7793551000300,ajies marvavic en vinagre de alcohol x 220 gr.,Almacen,Almacen,8032.0,20260220
2024670000007,ajies marvavic enteros 900gr x kg.,Almacen,Almacen,34463.0,20260220
33844003906,ajo badia asado x 170.1 gr,Almacen,Almacen,13712.0,20260220
7790150411391,ajo triturado alicante x50gr.n,Almacen,Almacen,1788.0,20260220
7790150413005,albahaca alicante x 20 gr.,Almacen,Almacen,1053.0,20260220
7792900910376,albahaca dos anclas x 35 gr.,Almacen,Almacen,1775.0,20260220
7790645002462,alcaparras gentleman x110gr.,Almacen,Almacen,3102.0,20260220
7790040613706,alf.bon o bon x40gr.negro,Almacen,Almacen,1146.0,20260220
7790040613904,alf.bon o bon x6u.negro,Almacen,Almacen,4769.0,20260220
7790040129764,alf.bon o bon x6unid.mini,Almacen,Almacen,2705.0,20260220
7798128000493,alfajor cachafaz blanco x 6 unid.,Almacen,Almacen,13234.0,20260220
7798128000479,alfajor cachafaz chocolate x 6 unid.,Almacen,Almacen,13234.0,20260220
7790070104403,alfajor chocoarroz 6 x 25 gm sabor pistacho,Almacen,Almacen,6369.0,20260220
7790070103314,alfajor chocoarroz 6 x 36 gm dulce de leche,Almacen,Almacen,6369.0,20260220
7790070416872,alfajor chocoarroz frutilla x 6 unid.,Almacen,Almacen,7164.0,20260220
7790040150010,alfajor cofler x 60 gr choco creamy,Almacen,Almacen,1059.0,20260220
77903785,alfajor milka mousse triple x 55 gr.,Almacen,Almacen,1539.0,20260220
7622300759506,alfajor milka mousse x 42 gr.,Almacen,Almacen,929.0,20260220
7622300759490,alfajor milka mousse x 6 unid. chocolate,Almacen,Almacen,7249.0,20260220
7622300835620,alfajor milka torta oreo triple x 61 gr.,Almacen,Almacen,1539.0,20260220
7622300457303,alfajor milka x55gr.trimous.bl,Almacen,Almacen,1539.0,20260220
77903778,alfajor milka x70gr.ddl,Almacen,Almacen,1539.0,20260220
77976307,alfajor oreo triple x 56 gr.,Almacen,Almacen,1539.0,20260220
77915481,alfajor pepito triple x 57 gr.,Almacen,Almacen,1539.0,20260220
7622202304705,alfajor shot simple x 44 gm pasta de mani,Almacen,Almacen,1099.0,20260220
77939234,alfajor terrabusi chocolate,Almacen,Almacen,1029.0,20260220
77903792,alfajor terrabusi clasico x 70 gr.,Almacen,Almacen,1539.0,20260220
7622300742584,alfajor terrabusi x6 chocolate,Almacen,Almacen,4649.0,20260220
77903860,alfajor terrabusi x70gr.torta,Almacen,Almacen,1539.0,20260220
77908308,alfajor tita x36gr.,Almacen,Almacen,1247.0,20260220
7798130190021,almendras peladas zyma x 150 gr.,Almacen,Almacen,7983.0,20260220
7798130191400,almendras peladas zyma x 300 gr.,Almacen,Almacen,12467.0,20260220
7794513000321,almendras sin cascara la nueva estrella x 80 gr.,Almacen,Almacen,3644.0,20260220
7791100000320,almidon de maiz chango x 220 gr.,Almacen,Almacen,1079.0,20260220
7791100000443,almidon de maiz chango x 500 gr.,Almacen,Almacen,2607.0,20260220
7794000007451,almidon de maiz maizena x 220 gr.,Almacen,Almacen,2134.0,20260220
7794000007468,almidon de maiz maizena x 500 gr.,Almacen,Almacen,3665.0,20260220
7794980363813,almidon de maiz yuspe x 250 gr.,Almacen,Almacen,1041.0,20260220
7794980363837,almidon de maiz yuspe x 500 gr.,Almacen,Almacen,2007.0,20260220
7790645001076,anana caracas x836gr.,Almacen,Almacen,6971.0,20260220
7790199605607,anana morixe x 836 gm rodajas finas,Almacen,Almacen,7058.0,20260220
7790645003322,ananas en trozos comunes gentleman x 825 gr.,Almacen,Almacen,6603.0,20260220
2025820000007,anchoas en aceite x kg.,Almacen,Almacen,97659.0,20260220
7798309870297,ani.cereal pura vida x200g.fru,Almacen,Almacen,1829.0,20260220
7790150420331,anis granos alicante x25gr.,Almacen,Almacen,1234.0,20260220
7793551000539,antipasto vegetal en aceite marvavic x 250 gr.,Almacen,Almacen,6876.0,20260220
7794980368504,aromatizante artificial yuspe limon x 110 cc,Almacen,Almacen,1392.0,20260220
7794980368535,aromatizante artificial yuspe naranja x 110 cc,Almacen,Almacen,1392.0,20260220
7794836000015,arroz doble carolina trimacer x 1 kg.,Almacen,Almacen,2517.0,20260220
7794836000022,arroz doble carolina trimacer x 500 gr.,Almacen,Almacen,1259.0,20260220
7798048720266,arroz don elio doble carolina x 500 gr.,Almacen,Almacen,1099.0,20260220
7790070411792,arroz gallo carnaroli x 500 gr.,Almacen,Almacen,2996.0,20260220
7790070431431,arroz gallo doble carolina x 500 gr.,Almacen,Almacen,2149.0,20260220
7790070431448,arroz gallo largo fino x1kg.bolsa,Almacen,Almacen,2460.0,20260220
7790070431721,arroz gallo risotto 4 quesos x 240 gr.,Almacen,Almacen,3993.0,20260220
7790070431554,arroz gallo sabores del mundo x 240 gr. curry asia,Almacen,Almacen,3637.0,20260220
7790681001139,arroz l.egip.x500gr.fort.doble,Almacen,Almacen,1119.0,20260220
7790681002150,arroz largo fino 00000 la egipciana x 500 gr.,Almacen,Almacen,779.0,20260220
7790070433145,arroz largo fino gallo x 500 gr.,Almacen,Almacen,1297.0,20260220
7790387070019,arroz largo fino maria x 1 kg.,Almacen,Almacen,1729.0,20260220
7790387070026,arroz largo fino maria x 500 gr.,Almacen,Almacen,906.0,20260220
7794580000248,arroz largo fino mocovi estuche x 1 kg.,Almacen,Almacen,1552.0,20260220
7794836000107,arroz largo fino tio quico x 1 kg.,Almacen,Almacen,1573.0,20260220
7794836000046,arroz largo fino trimacer 00000 x 1 kg.,Almacen,Almacen,1888.0,20260220
7794836000053,arroz largo fino trimacer 00000 x 500 gr.,Almacen,Almacen,1022.0,20260220
7790070431462,arroz lucchetti doble carolina x 1 kg.,Almacen,Almacen,3474.0,20260220
7790070431516,arroz lucchetti parb.sel.x500g,Almacen,Almacen,1283.0,20260220
7790070431493,arroz lucchetti x500gr.l.fino,Almacen,Almacen,1181.0,20260220
7790070412126,arroz maximo largo fino x 1 kg.,Almacen,Almacen,1643.0,20260220
7790070412171,arroz maximo largo fino x 500 gr.,Almacen,Almacen,861.0,20260220
7794580000040,arroz mocovi x 500 gr largo fino estuche,Almacen,Almacen,813.0,20260220
7790070432285,arroz preparado gallo x 240 gr. mix de semillas,Almacen,Almacen,3188.0,20260220
7790070321565,arroz preparado lucchetti x 240 gr. con cheddar,Almacen,Almacen,2178.0,20260220
7794870001344,arroz primor largo fino x 1 kg.,Almacen,Almacen,1271.0,20260220
7790070431578,arrozgallo doble carolina x 1 kilo estuche,Almacen,Almacen,4458.0,20260220
7790681001177,arvejas la egipciana,Almacen,Almacen,949.0,20260220
7798048720969,arvejas partidas don elio x 400 gr.,Almacen,Almacen,1139.0,20260220
7790681000316,arvejas partidas la egipciana x 400 gr.,Almacen,Almacen,1392.0,20260220
7790681000200,arvejas partidas las achiras x 400 gr.,Almacen,Almacen,1253.0,20260220
7790580132392,arvejas sec.rem.arcor x300gr.,Almacen,Almacen,1155.0,20260220
7793360132384,arvejas sec.rem.l.campagn.x300,Almacen,Almacen,1255.0,20260220
7790681000309,arvejas secas enteras la egipciana x 500 gr.,Almacen,Almacen,1392.0,20260220
7798048721874,arvejas secas remojadas don elio x 300 gr.,Almacen,Almacen,668.0,20260220
7790748266464,atun al agua sin sal puglisi x 170 gr.,Almacen,Almacen,4422.0,20260220
7790580131364,atun al natural en lomo la campagnola x 170 gr.,Almacen,Almacen,4599.0,20260220
7790748266204,atun al natural puglisi x 170 gr. _,Almacen,Almacen,4258.0,20260220
7790645001809,atun caracas x170gr.desm.aceit,Almacen,Almacen,1869.0,20260220
7793360129957,atun desmenuzado al natural la campagnola x 170 g.,Almacen,Almacen,3000.0,20260220
7790199604785,atun desmenuzado natural morixe x 170 gm,Almacen,Almacen,1715.0,20260220
7790199604792,atun desmunuzado morixe en aceite x 170 gm,Almacen,Almacen,1715.0,20260220
7790580131357,atun en aceite en lomo la campagnola x 170 gr.,Almacen,Almacen,4599.0,20260220
7790748266457,atun entero en aceite puglisi x 170 gr. sin sal,Almacen,Almacen,4422.0,20260220
7790748266167,atun entero entero en aceite puglisi x 170 gr.,Almacen,Almacen,4258.0,20260220
7790580143718,atun la campagnola x 170 gm ahumado,Almacen,Almacen,4729.0,20260220
8445291996731,avellanas con chocolate con leche nestle x 80 gm,Almacen,Almacen,4875.0,20260220
7792170555543,avena quaker x550gr.tradiciona,Almacen,Almacen,4165.0,20260220
7790045823568,avena tradicional granix x 400 gr.,Almacen,Almacen,2888.0,20260220
7790150425251,azafran alicante x2unid.,Almacen,Almacen,6332.0,20260220
7798042263691,azafran sabor 15 x 4 unid.,Almacen,Almacen,1568.0,20260220
7790580127534,azucar arcor x 1 kilo,Almacen,Almacen,1276.0,20260220
7790220000746,azucar bella vista x 1 kg.,Almacen,Almacen,993.0,20260220
7791100046137,azucar chango bajas calorias x 500 gr.,Almacen,Almacen,2591.0,20260220
7791100000214,azucar chango impalpable x 250 gr.,Almacen,Almacen,1129.0,20260220
7791100000450,azucar chango organico x 1 kg.,Almacen,Almacen,5071.0,20260220
7791100000481,azucar comun chango x 1 kg.,Almacen,Almacen,1510.0,20260220
7792900990620,azucar impalpable dos anclas x 300 gr.,Almacen,Almacen,2266.0,20260220
7798106640017,azucar la muneca x 1 kg.,Almacen,Almacen,938.0,20260220
7792129003286,azucar light equalsweet x 500 gr.,Almacen,Almacen,6558.0,20260220
7792900916606,bano de reposteria dos anclas semiamargo x 150 gr.,Almacen,Almacen,3280.0,20260220
7790580131494,bano repost.aguila x150gr.blanc,Almacen,Almacen,2619.0,20260220
7790580133641,bano repost.aguila x150gr.cele,Almacen,Almacen,2619.0,20260220
7794000007796,barbacoa hellmanns x 400 gm plastica,Almacen,Almacen,4999.0,20260220
7798228640629,barras de arroz crowie mini bars x 50 gr. chocofrutilla,Almacen,Almacen,1614.0,20260220
7798228640612,barras de arroz crowie mini bars x 50 gr. chocolimon,Almacen,Almacen,1614.0,20260220
7793551000447,berenjenas en escabeche marvavic x 250 gr.,Almacen,Almacen,7044.0,20260220
7790150430392,bicarbonato de sodio alicante x 50 gr.,Almacen,Almacen,695.0,20260220
7792900092805,bicarbonato de sodio dos anclas x 25 gr.,Almacen,Almacen,654.0,20260220
7794980911205,bicarbonato de sodio yuspe x 50 gr,Almacen,Almacen,531.0,20260220
7791100000399,bicarbonato sodio chango x 50 gr.,Almacen,Almacen,1309.0,20260220
7790580132286,bizc.aguila x530gr.chocolate,Almacen,Almacen,4324.0,20260220
7790580132293,bizc.aguila x540gr.vainilla,Almacen,Almacen,3966.0,20260220
7790580126087,bizc.arcor x500gr.choc.stacc,Almacen,Almacen,4927.0,20260220
7790580126070,bizc.arcor x500gr.vain.stacc,Almacen,Almacen,4927.0,20260220
7790070432865,bizc.exquisita x425gr.lemonies,Almacen,Almacen,4211.0,20260220
7790580131760,bizc.godet x480gr.chocolate,Almacen,Almacen,3748.0,20260220
7790580131753,bizc.godet x480gr.marmolado,Almacen,Almacen,3569.0,20260220
7798340790301,bizcochitos sin tacc frank`s x 100 gr. con semills,Almacen,Almacen,2126.0,20260220
7798340790264,bizcochitos sin tacc frank`s x 100 gr. sabor queso,Almacen,Almacen,2126.0,20260220
7790070418449,bizcochos de arroz gallo tortita negra x 100 gr.,Almacen,Almacen,2768.0,20260220
7790070417312,bizcochuelo exquisita 1 min. x 60 gr. vainilla,Almacen,Almacen,1149.0,20260220
7790070432933,bizcochuelo exquisita libre de gluten x 450 gr. va,Almacen,Almacen,4863.0,20260220
7790070432872,bizcochuelo exquisita torta con chips x 450 gr,Almacen,Almacen,4209.0,20260220
7794000008229,bizcochuelo maizena libre de gluten x 450 gr. vaia,Almacen,Almacen,5409.0,20260220
7622201806668,bizcochuelo royal x500gr.choco,Almacen,Almacen,3999.0,20260220
7622201806651,bizcochuelo royal x500gr.vaini,Almacen,Almacen,3999.0,20260220
7790580219000,bocadito cabsha x 180 gr.,Almacen,Almacen,8072.0,20260220
7798309870280,bol.cereal pura vida x200g.cv,Almacen,Almacen,2096.0,20260220
7794000004917,bolsa para horno knorr ajo y cebolla x 21 gr.,Almacen,Almacen,2703.0,20260220
7794000004894,bolsa para horno knorr cr y tom. x21 gr.,Almacen,Almacen,2703.0,20260220
7794000004924,bolsa para horno knorr x 21 gr tipo criollo,Almacen,Almacen,2703.0,20260220
7794000004887,bolsa para horno knorr x 21 gr. limon y oregano,Almacen,Almacen,2704.0,20260220
7790414002488,bolson surtido queth,Almacen,Almacen,6144.0,20260220
7790580148720,bombon de fruta mogul x 80 gr,Almacen,Almacen,1549.0,20260220
7790580106935,bombon de fruta mogul x500gr.,Almacen,Almacen,6449.0,20260220
8000500009673,bombon ferrero rocher x 300 gr.,Almacen,Almacen,29570.0,20260220
80052487,bombon raffaello x 3 unidades,Almacen,Almacen,3049.0,20260220
7790580138370,bombon surtido,Almacen,Almacen,5339.0,20260220
7790580151485,bombones de fruta sabor frambuesa baaadas en chocolate mogul,Almacen,Almacen,3479.0,20260220
7898024397151,bombones ferrero collection x 77 gm,Almacen,Almacen,12108.0,20260220
7898024396994,bombones ferrero rocher x 12 unid.,Almacen,Almacen,16027.0,20260220
78909434,bombones ferrero rocher x 3 unid.,Almacen,Almacen,3788.0,20260220
7898024397861,bombones ferrero rocher x 50 gr.,Almacen,Almacen,5697.0,20260220
7861002900117,bombones ferrero rocher x 8 unid.,Almacen,Almacen,10627.0,20260220
7891000392775,bombones garoto x 250 gr.,Almacen,Almacen,6002.0,20260220
7891000391068,bombones nestle especialidades x 251 gr.,Almacen,Almacen,6002.0,20260220
8000500232057,bombones rafaello x 9 unid.,Almacen,Almacen,8303.0,20260220
7790580119164,bon o bon x105gr leche bolsa,Almacen,Almacen,2619.0,20260220
